Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
CITROEN C3 Aircross BlueHDi S&S Shine EAT6 120,Diésel,2020,12.908 km,120 cv,Guipúzcoa,23.400 €
MERCEDES-BENZ Clase A 250 e,Híbrido,2023,5.737 km,218 cv,Cádiz,46.900 €
MERCEDES-BENZ Clase A 200 d Progressive (EURO 6d),Diésel,2021,34.248 km,150 cv,Valencia,35.000 €
SEAT Arona 1.0 TSI S&S Style 110,Gasolina,2021,53.657 km,110 cv,La Coruña,20.980 €
CITROEN C3 1.5BlueHDi S&S Feel Pack 100,Diésel,2020,23.971 km,100 cv,Guipúzcoa,16.900 €
VOLKSWAGEN Golf Sportsvan 1.4 TSI Advance 92kW,Gasolina,2017,110.931 km,125 cv,Jaén,16.200 €
FIAT Tipo 1.5 Hybrid Cross DCT,Gasolina,2022,51 km,130 cv,Guipúzcoa,25.900 €
MERCEDES-BENZ Clase GLA 180,Gasolina,2020,72.460 km,122 cv,Jaén,26.990 €
PEUGEOT 508 1.5BlueHDi S&S Allure EAT8 130,Diésel,2020,129.060 km,130 cv,Salamanca,21.600 €
BMW Serie 2 218dA Gran Tourer Business,Diésel,2020,41.164 km,150 cv,Vizcaya,24.900 €
NISSAN Juke 1.0 DIG-T Acenta 4x2 114,Gasolina,2022,9.000 km,114 cv,Barcelona,24.800 €
LEXUS UX 250h Business 2WD,Híbrido,2022,7.234 km,184 cv,Valencia,34.250 €
HYUNDAI i20 1.0 TGDI 74KW KLASS 100 5P,Gasolina,2022,22.249 km,100 cv,Asturias,17.990 €
RENAULT Captur TCe Zen 67kW,Gasolina,2022,16.000 km,90 cv,León,23.500 €
MERCEDES-BENZ Clase GLE 350 de 4MATIC (Híbrido Enchufable),Híbrido,2022,30.279 km,320 cv,Barcelona,85.900 €
MERCEDES-BENZ Clase GLE 2.9 diesel,Diésel,2020,159.800 km,331 cv,Valencia,76.250 €
MERCEDES-BENZ Clase GLE 2.9 diesel,Diésel,2020,159.800 km,331 cv,Valencia,76.250 €
NISSAN Juke 1.0 DIG-T Acenta 4x2 114,Gasolina,2022,9.000 km,114 cv,Barcelona,24.800 €
KIA XCeed 1.6 GDI PHEV EDRIVE 141 5P,Gasolina,2021,22.750 km,141 cv,Islas Baleares,27.900 €
PORSCHE 911 Carrera S Cabriolet PDK,Gasolina,2016,46.718 km,420 cv,Málaga,126.200 €
NISSAN Qashqai 1.5dCi Acenta 4x2 85kW,Diésel,2018,50.577 km,115 cv,Guipúzcoa,19.400 €
SUBARU Outback SUV 2.5 Trek Lineartronic,Gasolina,2023,10.000 km,169 cv,Madrid,43.890 €
MERCEDES-BENZ Clase GLC 220d 4Matic Aut.,Diésel,2019,46.345 km,170 cv,Barcelona,39.900 €
PORSCHE Macan Aut.,Gasolina,2018,83.550 km,252 cv,Málaga,46.600 €
BMW Serie 2 225xe iPerformance Active Tourer,Híbrido Enchufable,2019,61.160 km,224 cv,Murcia,24.900 €
LAND-ROVER Range Rover Evoque 2.0D I4 MHEV SE AWD Aut. 163,Diésel,2022,19.732 km,163 cv,Valencia,52.900 €
RENAULT Clio 1.0 TCE 74KW ZEN 100 5P,Gasolina,2020,42.924 km,100 cv,Vizcaya,16.900 €
PEUGEOT 308 SW 1.2 PureTech S&S Style 110,Gasolina,2019,48.000 km,110 cv,Madrid,14.900 €
MERCEDES-BENZ Clase E Cabrio Mercedes-AMG 53 4MATIC+,Híbrido,2019,85.359 km,435 cv,Madrid,68.990 €
PEUGEOT 208 1.2 Puretech S&S Allure Pack 100,Gasolina,2022,11.000 km,100 cv,Granada,17.900 €
OPEL Meriva 1.7CDTi Design Edition 110,Diésel,2012,106.868 km,110 cv,La Coruña,11.500 €
LAND-ROVER Range Rover Velar P180,Diésel,2019,90.422 km,180 cv,Valencia,42.338 €
SKODA Octavia 2.0TDI Style DSG 110kW,Diésel,2023,10.000 km,150 cv,Pontevedra,32.900 €
LAND-ROVER Range Rover Sport 3.0TDV6 HSE Aut.,Diésel,2019,132.000 km,258 cv,Salamanca,45.900 €
